step temp pe ke etotal press
6300 106.69023978247501816 -340.87317579839560722 81.095951440030390245 -259.77722435836523118 588.04487646174709425
6400 97.829678908803657578 -340.02805509784138849 74.360980970306911786 -265.6670741275344767 592.01537630180257565
6500 99.628229734462109946 -348.60628437153360437 75.728071256329343441 -272.87821311520428935 318.6411897089096783
6600 91.430753299016046753 -348.41977876947021286 69.497115619758304206 -278.92266314971192287 270.11120280378639791
6700 88.422298200511576738 -344.95513869908853621 67.210369155646361605 -277.74476954344220303 361.85255249925455701
6800 96.513484132376845537 -344.61257514185047057 73.360532682887622968 -271.25204245896281918 401.70189744068227355
6900 94.024529170585907423 -341.14931269604227282 71.468661682041158656 -269.68065101400111416 484.9745427305029466
7000 99.980030883941481079 -346.47816870538656531 75.995477618831600353 -270.48269108655495074 326.89005963597855953
7100 90.506405493176131927 -344.86225606707739644 68.794512786275831218 -276.06774328080155101 318.83696483937302446
7200 95.659105694126054686 -348.96917832175313379 72.7111140249011072 -276.25806429685201238 211.31786197905529434
7300 91.147536120907119539 -346.00363760275666891 69.281840383994179433 -276.72179721876250369 312.65477537059427959
7400 92.604128652995754578 -343.73794735904709796 70.389005926887392661 -273.34894143215967688 427.35293166299101131
7500 99.305719118136650536 -342.10699740342539599 75.48292882030381179 -266.6240685831215842 504.62010973763580068
7600 98.364896233960138261 -342.57269097778305422 74.767803171655856431 -267.80488780612722621 478.07744350055816085
7700 92.565519555685298769 -341.81029304478943232 70.359658898639864333 -271.45063414614958219 466.00718797014638994
7800 96.205947643239269951 -344.92251112842450311 73.126772179209069691 -271.79573894921543342 387.19726468815196085
7900 94.682110545312568206 -345.41050191985453921 71.968493600513056663 -273.44200831934148255 390.57767326693129917
8000 89.090162593662128643 -343.75524347742424425 67.718017263907142933 -276.03722621351710131 427.36652253248280431
8100 93.050056067134406135 -344.36830348774810773 70.727958280884323017 -273.64034520686379892 417.47377412148989606
8200 102.15669786817977638 -343.76046285904419619 77.649976478472382269 -266.11048638057184235 469.2817780060152586
8300 94.495471104790269123 -340.30673279549171184 71.826627736904072208 -268.48010505858763963 564.73551975552970816
8400 90.446515059988385588 -342.96080405517966483 68.748989674963880248 -274.21181438021579879 488.8050547745917811
8500 87.499328797201656016 -347.14984987856286125 66.508814054973043994 -280.64103582358984568 368.14279297841619609
8600 81.38715393946843335 -346.55124728415597701 61.862909832934469989 -284.68833745122151413 364.10292880770998636
8700 100.19122096454559312 -351.03677590551473031 76.156004585086492398 -274.88077132042826634 268.00994902854864677
8800 92.98664905223029109 -345.24380601605679431 70.679762192731317327 -274.5640438233255054 397.90551452304305258
8900 90.82616401692433783 -342.1396343729045384 69.037563338672086388 -273.1020710342324378 458.26658878748713732
9000 107.01848655790932696 -348.65616576206161881 81.345453968239539222 -267.31071179382206537 284.27010759917715177
9100 86.725425273783557145 -341.36477464947813587 65.920564907887595041 -275.44420974159055504 446.46033742177672821
9200 88.602065406113140966 -341.73402055385747644 67.34701138839133705 -274.38700916546611097 451.95354720851474895
9300 98.498712158541323447 -346.09822748363109213 74.869517534130480385 -271.22870994950062595 338.05228868094519612
9400 94.986259807263806465 -345.53043072303808003 72.199679450577775697 -273.33075127246030434 338.21227165780987889
9500 88.910656266203190512 -344.87787894267933098 67.581573326350451225 -277.29630561632887975 343.70526557941207102
9600 92.351217729008098445 -347.15623929446934426 70.196766673773211664 -276.95947262069614681 279.65839855200908914
9700 102.29710933760352987 -348.38328884805878261 77.756704157866749938 -270.62658469019203267 247.90266352029988184
9800 97.190334465632460592 -347.65913662755360747 73.875011063194747862 -273.78412556435887382 263.32999596262521891
9900 83.873696888449273956 -342.47557932021254601 63.752947447014548743 -278.72263187319799727 396.6841557401842806
10000 94.271195347432197309 -345.13581898578092932 71.656154261870483424 -273.4796647239104459 369.99522125588441668
