# Time-averaged data for fix temp_out
# TimeStep c_thermo_temp
0 95.8675
100 97.3205
200 97.8753
300 94.7537
400 98.5634
500 94.9833
600 96.9277
700 97.0411
800 95.9915
900 98.6324
1000 98.6677
1100 98.842
1200 98.191
1300 94.6963
1400 98.0128
1500 97.6263
1600 99.4487
1700 99.946
1800 99.5854
1900 98.3522
2000 97.3211
2100 97.5031
2200 97.3057
2300 95.7916
2400 97.4863
2500 98.3623
2600 98.5135
2700 94.3958
2800 98.2069
2900 97.1559
3000 97.6407
3100 96.357
3200 94.1531
3300 98.1136
3400 100.361
3500 97.8887
3600 98.5585
3700 96.4019
3800 95.722
3900 100.135
4000 97.4714
4100 96.7428
4200 100.569
4300 98.46
4400 96.4589
4500 97.3408
4600 99.1587
4700 98.601
4800 98.1943
4900 96.2105
5000 95.3787
5100 99.2124
5200 99.7303
5300 100.201
5400 95.9985
5500 97.5083
5600 95.8963
5700 96.1486
5800 95.8072
5900 98.7667
6000 95.2764
6100 98.6404
6200 97.1517
6300 96.8208
6400 97.4161
6500 98.0684
6600 99.2821
6700 96.687
6800 98.8738
6900 98.3783
7000 98.0901
7100 99.5591
7200 96.0695
7300 96.8956
7400 97.1015
7500 98.3969
7600 97.293
7700 98.0404
7800 98.1509
7900 98.0736
8000 99.1488
8100 99.6249
8200 100.001
8300 97.862
8400 99.6033
8500 98.5027
8600 97.9826
8700 99.6546
8800 98.7755
8900 98.7737
9000 96.8461
9100 99.3049
9200 96.2115
9300 95.6844
9400 98.057
9500 99.3297
9600 98.8235
9700 100.171
9800 95.2864
9900 97.4438
10000 97.0123
10100 99.8903
10200 95.5661
10300 97.0588
10400 96.4153
10500 102.135
10600 98.36
10700 97.105
10800 95.5797
10900 96.5613
11000 99.7494
11100 94.9127
11200 96.2227
11300 97.3712
11400 98.5036
11500 99.7163
11600 98.9592
11700 96.88
11800 95.6134
11900 94.2721
12000 97.4649
12100 97.8268
12200 95.541
12300 98.2875
12400 100.237
12500 97.5986
12600 96.6779
12700 98.1709
12800 97.7632
12900 97.3976
13000 97.7279
13100 98.6549
13200 95.3008
13300 97.9193
13400 97.1932
13500 95.1753
13600 98.5444
13700 97.1759
13800 99.65
13900 97.9739
14000 96.3017
14100 96.484
14200 97.2309
14300 98.273
14400 94.5022
14500 95.0653
14600 95.7
14700 98.1846
14800 97.014
14900 98.7902
15000 94.7472
15100 99.2234
15200 99.1036
15300 97.8749
15400 94.6637
15500 98.5193
15600 99.1295
15700 99.8838
15800 95.1418
15900 98.5495
16000 98.6677
16100 101.127
16200 99.4126
16300 99.4841
16400 95.2123
16500 97.541
16600 96.7244
16700 95.4384
16800 98.2117
16900 96.9679
17000 101.118
17100 100.622
17200 98.2534
17300 97.9423
17400 96.8159
17500 96.4608
17600 96.4815
17700 98.5208
17800 96.3373
17900 97.4989
18000 96.9623
18100 99.7578
18200 96.0195
18300 98.0545
18400 99.8076
18500 100.727
18600 95.2235
18700 98.8609
18800 99.2114
18900 96.8023
19000 99.9498
19100 97.6252
19200 99.178
19300 97.8828
19400 96.116
19500 96.6677
19600 98.5139
19700 93.5065
19800 98.29
19900 97.2796
20000 97.056
20100 97.4497
20200 100.226
20300 96.9734
20400 100.314
20500 99.5938
20600 98.9791
20700 95.9425
20800 98.5178
20900 99.6144
21000 97.9498
21100 96.1341
21200 99.0353
21300 97.9156
21400 97.5968
21500 96.1697
21600 94.2236
21700 97.0858
21800 97.346
21900 99.6636
22000 97.8689
22100 97.7582
22200 97.8289
22300 99.0163
22400 97.9521
22500 97.5577
22600 94.7532
22700 98.1466
22800 98.7804
22900 98.8476
23000 96.5977
23100 100.23
23200 97.8868
23300 98.0943
23400 99.2224
23500 98.6156
23600 96.3638
23700 98.5764
23800 98.4601
23900 94.6483
24000 96.6746
24100 97.2412
24200 99.0992
24300 97.6294
24400 99.1057
24500 95.5564
24600 99.335
24700 96.4843
24800 97.5843
24900 98.4443
25000 97.3529
25100 95.0202
25200 97.3013
25300 99.805
25400 99.4399
25500 98.5144
25600 95.7023
25700 94.8399
25800 99.8895
25900 96.7242
26000 97.6754
26100 97.4299
26200 97.1248
26300 99.6443
26400 98.1388
26500 98.287
26600 97.1789
26700 94.9166
26800 97.6842
26900 100.911
27000 99.6728
27100 96.9371
27200 99.8039
27300 101.822
27400 96.5786
27500 100.692
27600 96.7444
27700 96.7187
27800 100.77
27900 96.9263
28000 96.6627
28100 96.2712
28200 95.4157
28300 95.2372
28400 95.9989
28500 97.9493
28600 96.8737
28700 99.4254
28800 98.2904
28900 96.3573
29000 98.8161
29100 96.9903
29200 96.3257
29300 96.4272
29400 97.2531
29500 97.2313
29600 97.3497
29700 95.8628
29800 96.3336
29900 99.2562
30000 98.6272
30100 98.7049
30200 96.4584
30300 96.6643
30400 95.9672
30500 94.9661
30600 95.2493
30700 96.1119
30800 95.0197
30900 102.761
31000 98.0247
31100 97.827
31200 98.2682
31300 95.7647
31400 98.3217
31500 95.7032
31600 94.4605
31700 98.504
31800 95.072
31900 99.6789
32000 96.8995
32100 98.5321
32200 101.229
32300 95.3022
32400 100.635
32500 97.3636
32600 95.4945
32700 96.3443
32800 97.8796
32900 99.6763
33000 99.3935
33100 96.8141
33200 99.6872
33300 99.7889
33400 97.2667
33500 96.9931
33600 97.7407
33700 99.0512
33800 95.1904
33900 97.3044
34000 98.8894
34100 95.9562
34200 97.8166
34300 98.7287
34400 100.209
34500 100.565
34600 95.802
34700 97.1974
34800 94.2944
34900 98.4259
35000 99.0122
35100 94.5517
35200 97.2733
35300 95.7481
35400 97.4972
35500 94.5392
35600 96.3819
35700 95.6571
35800 95.4827
35900 99.1935
36000 97.7207
36100 100.28
36200 99.4798
36300 96.1314
